id,severity,claim,finding,counterfactual,url
F-P1-001,P1,#224 哑工件差 confession 与补交文件数,#224 声称 #223 仅 3 件、audit prompt 与 paradigm 均未提交，且 #224 补 2 件；API 证明 #223 为 4 件且 audit prompt 已在，#224 仅补 paradigm 1 件。当前可见收据正面失真，触发 v2 的 REFUTED→FAIL。,只纠正 PR 正文即可消除此反证，不改变仓库字节、视觉 76 或综合 94；但在纠正前不得把“全部可消项闭环”判为真。,https://api.github.com/repos/rayw-lab/website/pulls/224 | https://api.github.com/repos/rayw-lab/website/pulls/223/files?per_page=100 | https://api.github.com/repos/rayw-lab/website/pulls/224/files?per_page=100
F-P1-002,P1,#222/#223 changed-files 与 diffstat 收据,#222 正文写 3 文件 +13/−0，API 为 5 文件 +133/−0；#223 正文列 5 文件，API 为 4 文件。这不是代码结论错误，但说明验收收据没有由 API 事实自动生成。,改正文为 API 实值后，分数和技术结论不变；收据完整性恢复，但 C7 独立性仍会阻塞 GO。,https://api.github.com/repos/rayw-lab/website/pulls/222 | https://api.github.com/repos/rayw-lab/website/pulls/222/files?per_page=100 | https://api.github.com/repos/rayw-lab/website/pulls/223 | https://api.github.com/repos/rayw-lab/website/pulls/223/files?per_page=100
F-P1-003,P1,R-2 双评独立性闭环,两评同模型；UTC 时间戳缺失/父代补录；所谓 signedReceipt 仅是 JSON 字段，不含可验证签名；会话隔离与未见他分均为自述。R-2 完成了重评分与仲裁，不等于完成独立性证明。,补一份异模型评审，或同模型但提供不可变会话 ID、可信 UTC、完整帧 hash、工具序列与签名校验，即可把该项从 UNVERIFIED 提升；登记 76 未必变化。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-a.json | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-b.json | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cyber-city-visual-rubric-score.json
F-P1-004,P1,历史 append-only,#220 对已合并 SEC-R13 块做 +2/−1 原位编辑，违反本 Loop 自定合同。R-1 只能建立向前纪律，不能把历史违规改写为从未发生。,若 #220 当时采用新增 SEC-R14/ERRATA 块、0 删除，则历史 C1 可通过；分数仍不受影响。,https://api.github.com/repos/rayw-lab/website/pulls/220 | https://api.github.com/repos/rayw-lab/website/pulls/222
F-P1-005,P1,前两轮 C10 timeout 裁决被“全部驳回”,应拆成两真：PR #104 全历史确有 OBS 1.5M→1.8M、PERF 1.2M→1.5M；最小修复 5987641..ad93ed1 确实零 timeout 改动。没有原始 A/B 任务书，不能证明其本来只审后者，因此整改方把两轮 C10 一概定性为范围错置，证据不足。,明确写成“全 PR 有变、fix increment 无变”，并附原审计 scope，便可判定谁混测；当前事实不改变 94/76，但改变对前审是否误判的结论。,https://api.github.com/repos/rayw-lab/website/pulls/104/files?per_page=100 | https://api.github.com/repos/rayw-lab/website/compare/598764172250f3a0d6e5a29c36aa564dbd44e009...ad93ed1efcce66ea9367bb3ca40a95b811c9e393 | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-audit-prompt-v2.md | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-remediation-roadmap-2026-09-02.md
F-P2-001,P2,R-1 timeout 谱系的精确 commit 归因,c912 的直接 diff 是 OBS 1.5M→2.7M、0.9M→1.5M并加入 navigate 1.8M；972 是 navigate 1.8M→3.0M。它们属于历史谱系，但不能被写成最终净变化的精确直接来源。,补全中间提交链并区分 test.setTimeout 与 navigate budget，即可闭环；当前影响半径为 0，仍能确认 full PR 有 timeout 变化、fix increment 没有。,https://api.github.com/repos/rayw-lab/website/commits/c912b49f6aea0f07bf71b74d58399ebe83c568a5 | https://api.github.com/repos/rayw-lab/website/commits/97223b8333be48b6b762380c6e208dbb496252aa | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cyber-city-score-loop-orchestration.md
F-P2-002,P2,首轮 B 对 rotY 错算的 P0 严重性,"人工 rotY 数字确错；独立重放为 NE −131.6617/−141.6989/−139.7073°。但修正 S2 AABB 后 nose (15.77, -15.78) 仍在盒内，因此“根因整体崩塌”不成立。",只有修正后 nose 退出所有相关碰撞盒、从而改变根因/修复方向，才有 P0 影响；本案影响半径=0，应降级。,https://raw.githubusercontent.com/rayw-lab/website/50c33d9b98b86155c31ae2749ddbf68bd75bde4c/src/lab/world/city/CityMap.ts | https://raw.githubusercontent.com/rayw-lab/website/50c33d9b98b86155c31ae2749ddbf68bd75bde4c/src/lab/world/city/StreetProps.ts | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/tools/streetprops-roty-replay.mjs | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-vis-x2-collider-aabb-20260902.md
F-P2-003,P2,R2-B 评审总分 83,按权重重算为 82.00，不是 82.75/83。文件虽保留 parent_recompute=82.0，但仍保留错误 self report。,用 82 替换 83 后，|75−82|=7 仍大于 5，仲裁仍触发，最终 76 不变；影响半径=0。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-b.json | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cyber-city-visual-rubric-score.json
F-P2-004,P2,score-loop 输入健壮性,CLI override 校验 0–100，但视觉 JSON 文件路径只校验 typeof number；−1、101 等越界值会被计入。字符串分数会被当作缺失并触发可用权重归一化，极端情况下反而得到 100。,对所有维度增加 finite + 0≤score≤100 且 `missing.length>0` 时阻止 --min 放行；当前输入均合法，现有 94 影响半径=0。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/scripts/score-loop.mjs
F-P2-005,P2,前两轮审计原文可复审性,仓库只保存整改方对 A/B 的摘要，没有发现两份外部审计原文、不可变快照或原始 scope。因此本报告可复核技术事实与摘要裁决，不能替代逐句复审原报告。,保存原始 A/B Markdown、时间戳、会话/模型与证据索引后，才能对“哪两处同行错误”作无条件终局裁定。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-remediation-roadmap-2026-09-02.md | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-audit-prompt-v2.md
