id,severity,claim,finding,counterfactual,url
F-P1-001,P1,R-2-1 视觉独立性整改已闭环,任务书要求异模型；fallback 也要求完整签名收据。实际 A/B 同为 gpt-5.6-terra；A 无有效 UTC，B 无 UTC 和工具序列，新帧仅短哈希回显。,若提供两个不同模型族，或同模型但两个完整不可变收据加新六帧全 SHA/图像，则 C7 可转 PASS；当前直接阻断 GO。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-a.json | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-b.json
F-P1-002,P1,R-1 后 v2 C1/C9' append-only 自检已通过,#220 对已合并 SEC-R13 原位 +2/-1 是历史事实；后加声明不能令“所有后续 commit 删除=0”的字面检查回溯通过。,将规则拆为 historical exception 与 prospective invariant，并让机检显式白名单 #220，才可能客观 PASS；不影响 94/76。,https://api.github.com/repos/rayw-lab/website/pulls/220 | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-audit-prompt-v2.md
F-P1-003,P1,两轮 NO_GO 所有可消项已闭环,至少 C7 与字面 C1/C9' 仍 REFUTED；按 v2“任一 REFUTED 即 FAIL”，总体闭环声明不成立。,完成 C7 真收据，并把 C1 规则改成可执行的历史/未来分层后，可重新评估 GO。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-loop-audit-prompt-v2.md
F-P2-001,P2,修正 AABB 相对旧表位移≤0.05m,独立复算最大端点差=0.06m（S2 z 下界），不是 0.05m。,nose 仍在 S2，最小内边距约 0.133m；根因、视觉76、综合94均不变，影响半径为零。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-vis-x2-collider-aabb-20260902.md | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cyber-city-score-loop-orchestration.md
F-P2-002,P2,rotY 人工推导误差最大约6°,三项差分别为 5.44°/10.80°/5.89°，最大=10.80°。,AABB 变动仍≤0.06m，nose 仍在 S2；结论不变，不构成 P0。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cyber-city-orchestration-paradigm.md | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/tools/streetprops-roty-replay.mjs
F-P2-003,P2,H12 旧措辞已完全修正,诊断文档已勘误，但 OBS/PERF 两个可执行 spec 注释仍写“bearing 正穿 H12/S2”。,修正注释即可消项；不改变测试逻辑和分数。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/e2e/cyber-city-observability.spec.ts | https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/e2e/cyber-city-perf.spec.ts
F-P2-004,P2,ad93ed1 timeout/radius 零触,没有放宽既有终点门，但新增 leg2a 明确包含 radius=2.5 与 timeoutMs=240000，绝对化“零触”不成立。,改为“未放宽既有门，只新增绕行腿参数”即可；不改变 R3 通过或 94/76。,https://api.github.com/repos/rayw-lab/website/commits/ad93ed1
F-P2-005,P2,R2 评审 B 总分83,85×.20+80×.20+80×.15+85×.15+80×.15+80×.10+85×.05=82.00，应为82。,A75/B82 仍 |Δ|=7>5，仍触发仲裁；仲裁76、综合94不变。,https://raw.githubusercontent.com/rayw-lab/website/4ef7ed4cc9db9bde92180b8498bac7104951dd1d/docs/research/cc-alvis-r3-eval/r2-eval-b.json
F-P2-006,P2,#222 R-1 为3文件+13/-0,按合并前后 main 比较，实际4文件+65/-0；PR叙述统计失真。,改正文统计即可；R-1 实质勘误/脚本仍存在，不改变总裁决。,https://api.github.com/repos/rayw-lab/website/pulls/222 | https://api.github.com/repos/rayw-lab/website/compare/3cf1552c4468a10dab16e4e9118e1fc1f56a24d4...23b7032af8a8914c5860c2804d0de1f4ae98d621
F-P2-007,P2,#223 未提交 v2，#224 补交 v2 且两文件,#223 文件 API 已含 v2；#224 实际仅1文件+4/-0，补的是范式坑13–16。,最终 main 确实同时拥有 v2 和范式，故最终功能状态不变；仅叙事可信度受损。,https://api.github.com/repos/rayw-lab/website/pulls/223/files?per_page=100 | https://api.github.com/repos/rayw-lab/website/pulls/224/files?per_page=100
F-P2-008,P2,main 已具备外部审计所需强制治理,main protected=false，required status checks=off。,这是路线图 R-3-4 未完成项；不使现有 94/76 算术失效，但降低后续账本可信度。,https://api.github.com/repos/rayw-lab/website/branches/main
F-U-001,UNVERIFIED,可确认审计 A/B 每条原裁决的精确 scope 与措辞,仓库未检出两份原报告与 v1 任务书；仅能审路线图引述。,提供原报告不可变 URL 后，可把 A/B 复审从条件性结论升级为终局结论。,https://api.github.com/repos/rayw-lab/website/search/code?q=cc-score-loop-board-delta-pr-104-r2.md
